title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,polarity,subjectivity,positive,neutral,negative
Marvel Studios' Avengers: Infinity War Official Trailer,6ZfuNTqbHE8,199385769,3323431,79108,446618,0,0.14495896464646463,0.24411616161616162,1,0,0
Marvel Studios' Avengers: Infinity War - Official Trailer,QwievZ1Tx-8,81807041,1751463,41182,222066,0,0.15722222222222224,0.23986111111111114,1,0,0
Marvel Studios' Avengers: Infinity War - Big Game Spot,pVxOVlm_lE8,35794945,368576,16719,31761,0,0.09320512820512819,0.18118589743589744,1,0,0
AVENGERS INFINITY WAR Super Bowl Trailer (2018),mmZqOKVvWrY,9223050,73694,2562,6087,0,0.21916666666666665,0.35854166666666665,1,0,0
Avengers Infinity War Trailer Spoof - TOON SANDWICH,ti-1VYijEqY,3047778,70257,2270,5936,0,0.15942792884199133,0.3010606060606061,1,0,0
AVENGERS INFINITY WAR Trailer 2 Extended (New Movie Trailer 2018) Marvel Superhero Movie HD,A0D1h30kXlI,2553890,13234,984,707,0,0.058151154401154405,0.15846681096681098,1,0,0
"DEADPOOL 2 ""Beating Avengers: Infinity War"" Trailer [HD] Ryan Reynolds, Zazie Beetz, Josh Brolin",xOiglIips8o,2757613,40960,1132,1836,0,0.07635416666666668,0.30468750000000006,1,0,0
10 SECRETS You Missed in the Avengers: Infinity War Trailer,GjB0PXYcMGg,1147043,5639,698,652,0,0.0002976190476190493,0.2256547619047619,1,0,0
Avengers : Infinity War Trailer Hindi  ( dubbed by me ),_Inz-P_2aL8,1468990,24475,1521,1495,0,0.31925,0.4310833333333334,1,0,0
Top 3 Things You Missed in the Avengers: Infinity War Trailer #2!,Bj66kDcOwps,616554,11647,456,1453,0,0.08545138888888888,0.31725694444444447,1,0,0
Top 3 Things You Missed in the Avengers: Infinity War Trailer!,f_R66MOfW1M,3988946,33797,2125,5670,0,0.043053571428571434,0.33226190476190476,1,0,0
Avengers: Infinity War Trailer (Parody),DhRZqXkWtJw,2401214,20160,4529,1553,0,0.012499999999999994,0.2895833333333333,1,0,0
Avengers: Infinity War - Trailer Ufficiale Italiano | HD,gow1kuRimaQ,1650593,29068,816,2064,0,0.043333333333333335,0.175,1,0,0
Avengers Infinity War Trailer Breakdown In HINDI | Infinity War Trailer In Hindi | Things You Missed,G2MDk5KVuNU,568907,15505,872,559,0,0.033888888888888885,0.07055555555555557,1,0,0
Avengers: Infinity War Trailer Breakdown and Easter Eggs,KyJrBj9ebOA,569873,7022,255,1913,0,0.12660416666666668,0.42679761904761915,1,0,0
AVENGERS INFINITY WAR Weird Trailer ( U.S. English Version ) | FUNNY SPOOF PARODY by Aldo Jones,sG6uekF1xpo,5675755,206221,4673,13518,0,0.22840773809523807,0.29751488095238093,1,0,0
"Avengers: Infinity War Trailer | INDIAN MOVIES VERSION | Shah Rukh Khan, Salman Khan,  Aamir Khan HD",U3CvecvOJ9A,363678,9162,2069,1205,0,0.2990238095238095,0.3854047619047619,1,0,0
Avengers Infinity War Trailer #2 Stan Lee (2018) Marvel Superhero Movie HD,cPK9amHsIog,1228361,10899,2636,435,0,-0.0016287878787878906,0.42130681818181825,0,0,1
Avengers Infinity War Trailer Spoof Ft.Johnny Sins,HPpBteGSdN0,136102,971,207,23,0,0.05679012345679012,0.20617283950617282,1,0,0
AVENGERS INFINITY WAR Trailer (Marvel 2018),DjNQq0iXJYY,3257821,34965,1048,5151,0,0.028333333333333332,0.3641666666666667,1,0,0
Avengers Infinity War Trailer 2 in LEGO,KpDutn2fAsA,4907801,68653,3108,2465,0,0.3371590909090909,0.4699999999999999,1,0,0
BABY THANOS! - Avengers Infinity War Trailer Spoof - TOON SANDWICH Reaction!,csTy-volPAw,236404,3256,166,661,0,-0.0075000000000000015,0.13,0,0,1
Avengers Infinity War Trailer - The Soul Stone Revealed,biDJ26JjzYQ,468534,12105,279,4153,0,0.06581439393939395,0.1956439393939394,1,0,0
Marvel Studios' Avengers: Infinity War -- Chant TV Spot,5iOhzJdDawE,8808456,197641,3347,16181,0,0.024145951704545456,0.15272727272727274,1,0,0
Avengers Infinity War Trailer 2 Easter Eggs In Hindi | Is That Soul Stone ? |,hpPoyyzYjh0,357207,9267,721,1144,0,0.09186111111111112,0.1428472222222222,1,0,0
